เลขมาตราและกฎหมาย,เนื้อหา / สาระสำคัญ
มาตรา 36 พ.ร.บ. สิทธิบัตร,"ผู้ทรงสิทธิบัตรมีสิทธิแต่เพียงผู้เดียว ดังนี้
(1) สิทธิบัตรผลิตภัณฑ์ – ผลิต ใช้ ขาย มีไว้เพื่อขาย เสนอขาย หรือนำเข้ามาในราชอาณาจักรซึ่งผลิตภัณฑ์ตามสิทธิบัตร
(2) สิทธิบัตรกรรมวิธี – ใช้กรรมวิธี ผลิต ใช้ ขาย มีไว้เพื่อขาย เสนอขาย หรือนำเข้าผลิตภัณฑ์ที่ผลิตโดยกรรมวิธีตามสิทธิบัตร
ข้อยกเว้น ไม่ถือว่าละเมิดสิทธิบัตร ได้แก่
(1) การกระทำเพื่อศึกษา ค้นคว้า ทดลอง หรือวิจัย โดยไม่กระทบการใช้ประโยชน์ตามปกติของสิทธิบัตรเกินสมควร
(2) ผู้ผลิตหรือผู้ใช้กรรมวิธีโดยสุจริตที่ได้ประกอบกิจการหรือมีเครื่องมืออยู่ก่อนวันยื่นขอสิทธิบัตร และไม่รู้หรือไม่เหตุควรรู้ว่ามีการจดทะเบียน
(3) การปรุงยาเฉพาะรายตามใบสั่งแพทย์ และการกระทำต่อยาดังกล่าว
(4) การกระทำเพื่อขอขึ้นทะเบียนยา โดยมีวัตถุประสงค์ผลิต จำหน่าย หรือนำเข้ายาหลังสิทธิบัตรหมดอายุ
(5) การใช้อุปกรณ์สิทธิบัตรเกี่ยวกับเรือจากประเทศภาคีที่เข้ามาในราชอาณาจักรชั่วคราวหรือโดยอุบัติเหตุ และจำเป็นต้องใช้อุปกรณ์นั้น
(6) การใช้อุปกรณ์สิทธิบัตรเกี่ยวกับอากาศยานหรือยานพาหนะของประเทศภาคีที่เข้ามาในราชอาณาจักรชั่วคราวหรือโดยอุบัติเหตุ
(7) การใช้ ขาย มีไว้เพื่อขาย เสนอขาย หรือนำเข้าผลิตภัณฑ์ หากผู้ทรงสิทธิบัตรได้อนุญาตหรือยินยอมให้ผลิตหรือขายแล้ว"
มาตรา 54 พ.ร.บ. สิทธิบัตร,"สิทธิบัตรที่ออกโดยไม่ชอบด้วยมาตรา 5 มาตรา 9 มาตรา 10 มาตรา 11 หรือมาตรา 14 ให้ถือว่า สิทธิบัตรนั้นไม่สมบูรณ์
ความไม่สมบูรณ์นี้ บุคคลใดก็อ้างได้ และผู้มีส่วนได้เสียหรือพนักงานอัยการอาจฟ้องศาลเพื่อเพิกถอนสิทธิบัตรนั้นได้"
มาตรา 56 พ.ร.บ. สิทธิบัตร,การออกแบบผลิตภัณฑ์ที่จะขอรับสิทธิบัตร ต้องเป็น การออกแบบใหม่ เพื่อใช้ในอุตสาหกรรมหรือหัตถกรรม
มาตรา 57 พ.ร.บ. สิทธิบัตร,"การออกแบบผลิตภัณฑ์ต่อไปนี้ ไม่ถือว่าเป็นการออกแบบใหม่
(1) แบบที่มีหรือใช้แพร่หลายในราชอาณาจักรก่อนวันขอสิทธิบัตร
(2) แบบที่มีการเปิดเผยภาพหรือรายละเอียดในเอกสาร/สิ่งพิมพ์ ไม่ว่าที่ใด ก่อนวันขอสิทธิบัตร
(3) แบบที่เคยประกาศโฆษณาตามมาตรา 65 ประกอบมาตรา 28 ก่อนวันขอสิทธิบัตร
(4) แบบที่คล้ายกับ (1) (2) หรือ (3) จนเห็นว่าเป็นการเลียนแบบ"
มาตรา 58 พ.ร.บ. สิทธิบัตร,"การออกแบบผลิตภัณฑ์ต่อไปนี้ ขอรับสิทธิบัตรไม่ได้
(1) แบบที่ขัดต่อความสงบเรียบร้อยหรือศีลธรรมอันดี
(2) แบบที่กำหนดโดยพระราชกฤษฎีกา"
มาตรา 62 พ.ร.บ. สิทธิบัตร,"สิทธิบัตรการออกแบบผลิตภัณฑ์มีอายุ 10 ปี นับแต่วันยื่นขอในราชอาณาจักร
หากมีการดำเนินคดีตามมาตรา 65 ประกอบมาตรา 16 หรือมาตรา 74 ไม่นับเวลาระหว่างการดำเนินคดีเป็นอายุของสิทธิบัตร"
มาตรา 63 พ.ร.บ. สิทธิบัตร,"ผู้ทรงสิทธิบัตรมีสิทธิแต่เพียงผู้เดียวที่จะใช้แบบผลิตภัณฑ์กับผลิตภัณฑ์ตามสิทธิบัตร ขาย มีไว้เพื่อขาย เสนอขาย หรือ นำเข้ามาในราชอาณาจักรซึ่งผลิตภัณฑ์ที่ใช้แบบผลิตภัณฑ์นั้น
เว้นแต่กรณีใช้เพื่อ การศึกษา หรือการวิจัย"
มาตรา 64 พ.ร.บ. สิทธิบัตร,"สิทธิบัตรที่ออกโดยไม่ชอบด้วยมาตรา 56 มาตรา 58 หรือมาตรา 65 ประกอบกับมาตรา 10 มาตรา 11 และมาตรา 14 ให้ถือว่า ไม่สมบูรณ์
ความไม่สมบูรณ์นี้ บุคคลใดก็อ้างได้ หรือผู้มีส่วนได้เสียหรือพนักงานอัยการอาจฟ้องศาลเพื่อเพิกถอนสิทธิบัตรนั้นได้"
มาตรา 65 พ.ร.บ. สิทธิบัตร,"ให้นำบทบัญญัติมาตรา 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 27, 28, 29, 31, 32, 33, 34, 37, 38, 39, 40, 41, 42, 43, 44 และ 53 ในหมวด 2 (สิทธิบัตรการประดิษฐ์) มาใช้บังคับโดยอนุโลมในหมวด 3 (สิทธิบัตรการออกแบบผลิตภัณฑ์)"
มาตรา 65 ทวิ พ.ร.บ. สิทธิบัตร,"การประดิษฐ์ที่จะขอรับ อนุสิทธิบัตร ต้องมีลักษณะดังนี้
(1) เป็นการประดิษฐ์ใหม่
(2) สามารถประยุกต์ใช้ในทางอุตสาหกรรม"
มาตรา 65 สัตต พ.ร.บ. สิทธิบัตร,"อนุสิทธิบัตรมีอายุ 6 ปี นับแต่วันยื่นขอในราชอาณาจักร
หากมีการดำเนินคดีตามมาตรา 65 ทศ ประกอบมาตรา 16 มาตรา 74 หรือมาตรา 77 ฉ ไม่นับเวลาระหว่างการดำเนินคดีเป็นอายุอนุสิทธิบัตร
ผู้ทรงอนุสิทธิบัตรอาจ ขอต่ออายุได้ 2 ครั้ง ครั้งละ 2 ปี โดยต้องยื่นคำขอต่ออายุภายใน 90 วันก่อนสิ้นอายุ
เมื่อยื่นคำขอตามกำหนดแล้ว ให้อนุสิทธิบัตรยังคงจดทะเบียนอยู่จนกว่าจะมีคำสั่งเป็นอย่างอื่น
การต่ออายุเป็นไปตามหลักเกณฑ์และวิธีการที่อธิบดีประกาศกำหนด"
มาตรา 65 นว พ.ร.บ. เครื่องหมายการค้า,"อนุสิทธิบัตรที่ออกโดยไม่ชอบด้วยมาตรา 65 ทวิ มาตรา 65 ทศ ประกอบกับมาตรา 9 มาตรา 10 มาตรา 11 หรือมาตรา 14 ให้ถือว่า อนุสิทธิบัตรนั้นไม่สมบูรณ์
ความไม่สมบูรณ์นี้ บุคคลใดก็อ้างได้ หรือผู้มีส่วนได้เสียหรือพนักงานอัยการอาจฟ้องศาลเพื่อเพิกถอนอนุสิทธิบัตรนั้นได้"
มาตรา 65 ทศ พ.ร.บ. เครื่องหมายการค้า,"ให้นำบทบัญญัติมาตรา 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 19 ทวิ, 20, 21, 22, 23, 25, 26, 27, 28, 35 ทวิ, 36, 36 ทวิ, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 47 ทวิ, 48, 49, 50, 50 ทวิ, 51, 52, 53 และ 55 ในหมวด 2 (สิทธิบัตรการประดิษฐ์) มาใช้บังคับโดยอนุโลม ในหมวด 3 ทวิ (อนุสิทธิบัตร)"
มาตรา 6 พ.ร.บ. เครื่องหมายการค้า,"เครื่องหมายการค้าที่จดทะเบียนได้ ต้องมีลักษณะดังนี้
(1) มีลักษณะบ่งเฉพาะ
(2) ไม่มีลักษณะต้องห้ามตามกฎหมาย
(3) ไม่เหมือนหรือคล้ายกับเครื่องหมายที่ผู้อื่นได้จดทะเบียนไว้แล้ว"
มาตรา 7 พ.ร.บ. เครื่องหมายการค้า,"เครื่องหมายที่มีลักษณะบ่งเฉพาะ คือ เครื่องหมายที่ทำให้ประชาชนเข้าใจว่าสินค้าที่ใช้เครื่องหมายนั้นแตกต่างจากสินค้าอื่น
ลักษณะที่ถือว่ามีลักษณะบ่งเฉพาะ ได้แก่
(1) ชื่อตัว-ชื่อสกุล (ที่ไม่ใช่ชื่อสกุลทั่วไป), ชื่อนิติบุคคล, หรือชื่อทางการค้า ที่ไม่เล็งถึงคุณสมบัติสินค้าโดยตรง
(2) คำหรือข้อความที่ไม่เล็งถึงคุณสมบัติสินค้าโดยตรง และไม่เป็นชื่อภูมิศาสตร์ที่รัฐมนตรีประกาศ
(3) คำที่ประดิษฐ์ขึ้น
(4) ตัวหนังสือหรือตัวเลขที่ประดิษฐ์ขึ้น
(5) กลุ่มสีที่แสดงโดยลักษณะพิเศษ
(6) ลายมือชื่อของผู้ขอ หรือบุคคลอื่นที่อนุญาต
(7) ภาพของผู้ขอ หรือบุคคลอื่นที่อนุญาต (รวมถึงกรณีตายแล้วโดยผู้สืบสันดาน/คู่สมรสอนุญาต)
(8) ภาพที่ประดิษฐ์ขึ้น
(9) ภาพที่ไม่เล็งถึงคุณสมบัติสินค้าโดยตรง และไม่ใช่ภาพแผนที่หรือสถานที่ที่รัฐมนตรีกำหนด
(10) รูปร่างหรือรูปทรงที่ไม่ใช่ลักษณะโดยธรรมชาติของสินค้า, ไม่จำเป็นต่อการทำงานทางเทคนิค, หรือไม่ทำให้สินค้ามีมูลค่าเพิ่มขึ้น
(11) เสียงที่ไม่เล็งถึงคุณสมบัติสินค้าโดยตรง, ไม่ใช่เสียงโดยธรรมชาติ, หรือไม่เกิดจากการทำงานของสินค้า
หากเครื่องหมายไม่มีลักษณะดังกล่าว แต่ได้มีการจำหน่าย เผยแพร่ หรือโฆษณาจนแพร่หลาย ตามหลักเกณฑ์ที่รัฐมนตรีกำหนด และพิสูจน์ได้ว่าปฏิบัติถูกต้องแล้ว ให้ถือว่ามีลักษณะบ่งเฉพาะ"
มาตรา 8 เครื่องหมายการค้าที่ห้ามรับจดทะเบียน พ.ร.บ. เครื่องหมายการค้า,"(1) ตราแผ่นดิน พระราชลัญจกร ตราจักรี ตราเครื่องราชฯ ตราประจำตำแหน่ง/กระทรวง/จังหวัด
(2) ธงชาติไทย ธงพระอิสริยยศ ธงราชการ
(3) พระปรมาภิไธย พระนามาภิไธย (เต็ม/ย่อ) หรือนามพระราชวงศ์
(4) พระบรมฉายาลักษณ์/พระบรมสาทิสลักษณ์ ของพระมหากษัตริย์ พระราชินี รัชทายาท
(5) ชื่อ คำ ข้อความ หรือเครื่องหมายที่แสดงถึงพระมหากษัตริย์ พระราชินี รัชทายาท หรือพระราชวงศ์
(6) ธงชาติ/เครื่องหมายประจำชาติของรัฐต่างประเทศ หรือองค์การระหว่างประเทศ รวมถึงตราประจำประมุขรัฐ, เครื่องหมายราชการ, เครื่องหมายควบคุมคุณภาพ เว้นแต่ได้รับอนุญาต
(7) เครื่องหมายราชการ เครื่องหมายกาชาด นามกาชาด หรือกาเจนีวา
(8) เครื่องหมายที่ เหมือนหรือคล้ายกับเหรียญ ใบสำคัญ ประกาศนียบัตร หรือเครื่องหมายรางวัลจากรัฐบาลไทย/ต่างประเทศ หรือองค์การระหว่างประเทศ เว้นแต่ผู้ขอได้รับรางวัลนั้นจริงและระบุปีปฏิทิน
(9) เครื่องหมายที่ขัดต่อความสงบเรียบร้อย ศีลธรรมอันดี หรือรัฐประศาสโนบาย
(10) เครื่องหมายที่เหมือนหรือคล้ายกับเครื่องหมายที่มีชื่อเสียงแพร่หลายจนทำให้สาธารณชนสับสน แม้ยังไม่จดทะเบียน
(11) เครื่องหมายที่คล้ายกับ (1)-(7)
(12) สิ่งบ่งชี้ทางภูมิศาสตร์ที่ได้รับความคุ้มครองตามกฎหมาย
(13) เครื่องหมายอื่นที่รัฐมนตรีประกาศกำหนด"
มาตรา 44 พ.ร.บ. เครื่องหมายการค้า,เมื่อจดทะเบียนเครื่องหมายการค้าแล้ว ผู้จดทะเบียนเป็นเจ้าของ มีสิทธิแต่เพียงผู้เดียวที่จะใช้เครื่องหมายนั้นกับสินค้าที่ได้จดทะเบียนไว้ ภายใต้บังคับมาตรา 27 และมาตรา 68
มาตรา 46 พ.ร.บ. เครื่องหมายการค้า,"บุคคลไม่อาจฟ้องคดีเพื่อป้องกันหรือต้องการค่าสินไหมทดแทนจากการละเมิดสิทธิใน เครื่องหมายการค้าที่ไม่ได้จดทะเบียน ได้
แต่เจ้าของเครื่องหมายการค้าที่ไม่ได้จดทะเบียน ยังมีสิทธิฟ้องผู้ที่นำสินค้าของตนไปลวงขายว่าเป็นสินค้าของเจ้าของเครื่องหมายนั้นได้"
มาตรา 61 พ.ร.บ. เครื่องหมายการค้า,"ผู้มีส่วนได้เสียหรือนายทะเบียน อาจร้องขอคณะกรรมการให้เพิกถอนการจดทะเบียนเครื่องหมายการค้า หากพิสูจน์ได้ว่า ในขณะจดทะเบียน เครื่องหมายนั้น
(1) ไม่มีลักษณะบ่งเฉพาะตามมาตรา 7
(2) มีลักษณะต้องห้ามตามมาตรา 8
(3) เหมือนกับเครื่องหมายการค้าที่ผู้อื่นจดทะเบียนไว้แล้ว ไม่ว่ากับสินค้าจำพวกเดียวกันหรือต่างกันที่มีลักษณะอย่างเดียวกัน
(4) คล้ายกับเครื่องหมายที่ผู้อื่นจดทะเบียนจนทำให้สาธารณชนสับสนหรือหลงผิด ไม่ว่ากับสินค้าจำพวกเดียวกันหรือต่างกันที่มีลักษณะอย่างเดียวกัน"
มาตรา 62 พ.ร.บ. เครื่องหมายการค้า,บุคคลใดเห็นว่าเครื่องหมายการค้าขัดต่อ ความสงบเรียบร้อย ศีลธรรมอันดี หรือรัฐประศาสโนบาย อาจร้องขอคณะกรรมการให้เพิกถอนการจดทะเบียนได้
มาตรา 66 พ.ร.บ. เครื่องหมายการค้า,ผู้มีส่วนได้เสียหรือนายทะเบียน อาจร้องขอต่อศาลให้เพิกถอนการจดทะเบียนเครื่องหมายการค้า หากพิสูจน์ได้ว่า เครื่องหมายนั้นได้กลายเป็นสิ่งที่ใช้กันทั่วไปในการค้าสำหรับสินค้าบางชนิด จนสูญเสียความหมายของการเป็นเครื่องหมายการค้าไปแล้ว
มาตรา 67 พ.ร.บ. เครื่องหมายการค้า,"ภายใน 5 ปีนับแต่วันที่จดทะเบียน ผู้มีส่วนได้เสียอาจร้องขอต่อศาลให้เพิกถอนการจดทะเบียน หากแสดงได้ว่าตนมีสิทธิในเครื่องหมายนั้นดีกว่าผู้จดทะเบียน
ถ้าพิสูจน์ได้เพียงว่ามีสิทธิดีกว่าในบางสินค้า ให้ศาลจำกัดสิทธิการจดทะเบียนเฉพาะสินค้าที่ผู้ร้องไม่มีสิทธิดีกว่า"
